status,content_class,sitemap,source_url,resolved_url,canonical_url,wordpress_id,last_modified,title,text_chars,headings,images,embeds,downloads,internal_links,external_links,warnings,error
200,page,link-discovery,https://www.ccf.org.ph/know-more-about-jesus,https://www.ccf.org.ph/know-more-about-jesus/,https://www.ccf.org.ph/know-more-about-jesus/,17475,,Button Response - Know More About Jesus - Christ's Commission Fellowship,78,1,0,0,0,0,0,,
200,page,link-discovery,https://www.ccf.org.ph/live/broadcast-channels,https://www.ccf.org.ph/live/broadcast-channels/,https://www.ccf.org.ph/live/broadcast-channels/,25460,,Broadcast Channels - Christ's Commission Fellowship,1154,0,5,0,0,0,5,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ae/page/2/,https://www.ccf.org.ph/location-categories/ae/page/2/,https://www.ccf.org.ph/location-categories/ae/page/2/,102,,UAE_ Archives - Page 2 of 2 - Christ's Commission Fellowship,407,5,0,0,0,8,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ca/page/2/,https://www.ccf.org.ph/location-categories/ca/page/2/,https://www.ccf.org.ph/location-categories/ca/page/2/,98,,Canada_ Archives - Page 2 of 2 - Christ's Commission Fellowship,106,1,0,0,0,4,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,https://www.ccf.org.ph/location-categories/ph-luzon/page/2/,91,,Philippines_Luzon Archives - Page 2 of 4 - Christ's Commission Fellowship,329,10,0,0,0,14,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,https://www.ccf.org.ph/location-categories/ph-luzon/page/3/,91,,Philippines_Luzon Archives - Page 3 of 4 - Christ's Commission Fellowship,315,10,0,0,0,14,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-luzon/page/4/,https://www.ccf.org.ph/location-categories/ph-luzon/page/4/,https://www.ccf.org.ph/location-categories/ph-luzon/page/4/,91,,Philippines_Luzon Archives - Page 4 of 4 - Christ's Commission Fellowship,267,8,0,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-metromanila/page/2/,https://www.ccf.org.ph/location-categories/ph-metromanila/page/2/,https://www.ccf.org.ph/location-categories/ph-metromanila/page/2/,90,,Philippines_MetroManila Archives - Page 2 of 3 - Christ's Commission Fellowship,418,10,0,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-metromanila/page/3/,https://www.ccf.org.ph/location-categories/ph-metromanila/page/3/,https://www.ccf.org.ph/location-categories/ph-metromanila/page/3/,90,,Philippines_MetroManila Archives - Page 3 of 3 - Christ's Commission Fellowship,107,1,0,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/ph-mindanao/page/2/,https://www.ccf.org.ph/location-categories/ph-mindanao/page/2/,https://www.ccf.org.ph/location-categories/ph-mindanao/page/2/,92,,Philippines_Mindanao Archives - Page 2 of 2 - Christ's Commission Fellowship,201,2,0,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/location-categories/us/page/2/,https://www.ccf.org.ph/location-categories/us/page/2/,https://www.ccf.org.ph/location-categories/us/page/2/,103,,USA_ Archives - Page 2 of 2 - Christ's Commission Fellowship,102,1,0,0,0,4,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/afternoon/page/10/,https://www.ccf.org.ph/message-category/afternoon/page/10/,https://www.ccf.org.ph/message-category/afternoon/page/10/,57,,Afternoon Archives - Page 10 of 13 - Christ's Commission Fellowship,1766,10,10,0,0,23,0,,
